Drug,Dose,Units,Hours,BioRep,TechRep,Target,Count
AVB3InhibitorCilengitide,10,nM,6,2,2,ITGB3,0.287130121
AVB3InhibitorCilengitide,10,nM,6,2,3,ITGB3,0.434157923
AVB3InhibitorCilengitide,10,nM,6,3,1,ITGB3,0.115741449
AVB3InhibitorCilengitide,10,nM,6,3,2,ITGB3,0.498697062
AVB3InhibitorCilengitide,10,nM,6,3,3,ITGB3,0.165862655
AVB3InhibitorCilengitide,20,nM,6,1,1,ITGB3,0.336967838
AVB3InhibitorCilengitide,20,nM,6,1,3,ITGB3,0.59761277
AVB3InhibitorCilengitide,20,nM,6,2,1,ITGB3,0.473292954
AVB3InhibitorCilengitide,20,nM,6,2,2,ITGB3,0.590356095
AVB3InhibitorCilengitide,20,nM,6,3,1,ITGB3,0.516172639
AVB3InhibitorCilengitide,20,nM,6,3,2,ITGB3,0.364679382
AVB3InhibitorCilengitide,20,nM,6,3,3,ITGB3,0.395937247
